AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Value (USD),ParentCompany
ACQ885,June,13,1997,Cooper & Peters,,Microsoft
ACQ884,June,30,1997,LinkAge Software,,Microsoft
ACQ883,August,5,1997,VXtreme,,Microsoft
ACQ882,September,,1997,Net Controls,1400000,Yahoo
ACQ881,September,2,1997,Power Computing Corporation,110000000,Apple
ACQ880,October,8,1997,Four11,92000000,Yahoo
ACQ88,January,29,2016,Flyby Media,,Apple
ACQ879,December,31,1997,Hotmail,500000000,Microsoft
ACQ878,February,23,1998,Flash Communications,,Microsoft
ACQ877,March,31,1998,Classic Games,,Yahoo
ACQ876,April,15,1998,Firefly,40000000,Microsoft
ACQ875,April,28,1998,MESA Group,,Microsoft
ACQ874,April,29,1998,Sportasy,,Yahoo
ACQ873,June,8,1998,Viaweb,48600000,Yahoo
ACQ872,July,17,1998,Webcal,21000000,Yahoo
ACQ871,August,25,1998,Valence Research,,Microsoft
ACQ870,October,12,1998,Yoyodyne,29600000,Yahoo
ACQ87,February,2,2016,Aperto AG,,IBM
ACQ869,November,6,1998,LinkExchange,265000000,Microsoft
ACQ868,December,,1998,Hyperparallel,8100000,Yahoo
ACQ867,January,8,1999,Xemplar Education,4926000,Apple
ACQ866,January,11,1999,FASA Interactive,,Microsoft
ACQ865,March,4,1999,CompareNet,,Microsoft
ACQ864,March,26,1999,Numinous Technologies,,Microsoft
ACQ863,April,1,1999,Broadcast.com,5700000000,Yahoo
ACQ862,April,27,1999,Interactive Objects-Digital,,Microsoft
ACQ861,April,30,1999,Jump Networks,,Microsoft
ACQ860,May,27,1999,Encompass,130000000,Yahoo
ACQ86,February,3,2016,"TouchType, Ltd.",250000000,Microsoft
ACQ859,May,28,1999,GeoCities,3600000000,Yahoo
ACQ858,June,2,1999,Online Anywhere,80000000,Yahoo
ACQ857,June,7,1999,ShadowFactor Software,,Microsoft
ACQ856,June,15,1999,Omnibrowse,,Microsoft
ACQ855,June,28,1999,Intrinsa,58900000,Microsoft
ACQ854,July,1,1999,Sendit,125420000,Microsoft
ACQ853,July,7,1999,Zoomit,,Microsoft
ACQ852,July,21,1999,STNC,,Microsoft
ACQ851,September,19,1999,Softway Systems,,Microsoft
ACQ850,October,29,1999,Entropic,,Microsoft
ACQ85,Feburary,3,2016,LegbaCore,,Apple
ACQ849,November,3,1999,Raycer Graphics,15000000,Apple
ACQ848,January,7,2000,Visio Corporation,1375000000,Microsoft
ACQ847,January,7,2000,NetSelector,,Apple
ACQ846,February,29,2000,Peach Networks,,Microsoft
ACQ845,March,17,2000,Travelscape,89750000,Microsoft
ACQ844,March,23,2000,Arthas.com,,Yahoo
ACQ843,April,5,2000,MyQuest,,Yahoo
ACQ842,April,11,2000,Astarte-DVD Authoring Software[note 1],,Apple
ACQ841,April,12,2000,Titus Communications,944800000,Microsoft
ACQ840,June,19,2000,Bungie Software,,Microsoft
ACQ84,February,3,2016,ecx.io AG,,IBM
ACQ839,June,30,2000,VivaSmart,8900000,Yahoo
ACQ838,July,12,2000,NetGames,,Microsoft
ACQ837,August,31,2000,eGroups,432000000,Yahoo
ACQ836,September,13,2000,MongoMusic,65000000,Microsoft
ACQ835,September,27,2000,Pacific Microsonics,,Microsoft
ACQ834,November,9,2000,Kimo,30000000,Yahoo
ACQ833,,,2000,SoundJam MP[note 2],,Apple
ACQ832,,,2001,Bluefish Labs,,Apple
ACQ831,February,12,2001,Deja,,Google
ACQ830,February,14,2001,Sold.com.au,30000000,Yahoo
ACQ83,February,9,2016,Groove,,Microsoft
ACQ829,March,17,2001,Vacationspot,70850000,Microsoft
ACQ828,April,5,2001,Great Plains Software,939884000,Microsoft
ACQ827,May,2,2001,Intellisol International,,Microsoft
ACQ826,May,11,2001,bluebuzz,,Apple
ACQ825,May,31,2001,NCompass Labs,36000000,Microsoft
ACQ824,June,7,2001,Mainspring,80000000,IBM
ACQ823,June,21,2001,Maximal Innovative Intelligence,20000000,Microsoft
ACQ822,June,28,2001,LAUNCH Media,12000000,Yahoo
ACQ821,July,1,2001,Yupi,,Microsoft
ACQ820,July,2,2001,Informix Corporation,1000000000,IBM
ACQ82,February,12,2016,BandPage,,Google
ACQ819,July,9,2001,Spruce Technologies[note 3],14900000,Apple
ACQ818,September,20,2001,Outride,,Google
ACQ817,December,31,2001,PowerSchool,66100000,Apple
ACQ816,January,14,2002,"CrossWorlds Software, Inc.",129000000,IBM
ACQ815,February,1,2002,Nothing Real,15000000,Apple
ACQ814,February,12,2002,Hotjobs.com,436000000,Yahoo
ACQ813,March,11,2002,Classic Custom Vacations,78000000,Microsoft
ACQ812,April,4,2002,Zayante,13000000,Apple
ACQ811,May,22,2002,Sales Management Systems,,Microsoft
ACQ810,June,11,2002,Silicon Grail Corp-Chalice[note 5][note 6],20000000,Apple
ACQ81,February,18,2016,Pie,,Google
ACQ809,June,20,2002,Propel Software,,Apple
ACQ808,June,21,2002,Prismo Graphics[note 6],20000000,Apple
ACQ807,June,25,2002,Metamerge,,IBM
ACQ806,July,1,2002,Emagic,30000000,Apple
ACQ805,July,12,2002,Navision,1330000000,Microsoft
ACQ804,July,29,2002,Mobilocity,,Microsoft
ACQ803,August,19,2002,"Trellisoft, Inc.",,IBM
ACQ802,September,10,2002,XDegrees,,Microsoft
ACQ801,September,12,2002,"Holosofx, Inc.",,IBM
ACQ800,September,24,2002,Rare,375000000,Microsoft
ACQ80,February,18,2016,Truven Health Analytics,2600000000,IBM
ACQ8,November,7,2017,SWNG,,Microsoft
ACQ799,October,2,2002,PWC Consulting,3500000000,IBM
ACQ798,October,6,2002,Access360,,IBM
ACQ797,October,7,2002,EADS Matra Datavision,,IBM
ACQ796,November,15,2002,Tarian Software,,IBM
ACQ795,December,13,2002,Vicinity,95849000,Microsoft
ACQ794,December,23,2002,Inktomi Corporation,235000000,Yahoo
ACQ793,February,,2003,Pyra Labs,,Google
ACQ792,Feburary,21,2003,Rational Software Corporation,2100000000,IBM
ACQ791,February,25,2003,Connectix,,Microsoft
ACQ790,March,3,2003,DCG,,Microsoft
ACQ79,February,24,2016,Xamarin,,Microsoft
ACQ789,April,,2003,Applied Semantics,102000000,Google
